"ID";"Name";"NumberOfPersons";"global_id";"Year";"Month";
"1";"Мария";"252";"37750254";"2015";"январь";
"2";"Анастасия";"224";"37750255";"2015";"январь";
"3";"Анна";"190";"37750256";"2015";"январь";
"4";"Варвара";"190";"37750257";"2015";"январь";
"5";"Виктория";"186";"37750258";"2015";"январь";
"6";"Полина";"176";"62368403";"2015";"январь";
"7";"Алиса";"175";"62368404";"2015";"январь";
"8";"София";"172";"62368405";"2015";"январь";
"9";"Елизавета";"165";"62368406";"2015";"январь";
"10";"Дарья";"156";"62368407";"2015";"январь";
"11";"Александра";"147";"62368408";"2015";"январь";
"12";"Ксения";"146";"62368409";"2015";"январь";
"13";"Екатерина";"118";"62368410";"2015";"январь";
"14";"Арина";"112";"62368411";"2015";"январь";
"15";"Софья";"103";"62368412";"2015";"январь";
"16";"Милана";"101";"62368413";"2015";"январь";
"17";"Вероника";"98";"62368414";"2015";"январь";
"18";"Валерия";"97";"62368415";"2015";"январь";
"19";"Василиса";"97";"62368416";"2015";"январь";
"20";"Ева";"90";"62368417";"2015";"январь";
"21";"Ульяна";"68";"62368418";"2015";"январь";
"22";"Кира";"63";"62368419";"2015";"январь";
"23";"Татьяна";"56";"62368420";"2015";"январь";
"24";"Маргарита";"55";"62368421";"2015";"январь";
"25";"Таисия";"55";"62368422";"2015";"январь";
"26";"Алёна";"52";"62368423";"2015";"январь";
"27";"Кристина";"48";"62368424";"2015";"январь";
"28";"Алина";"48";"62368425";"2015";"январь";
"29";"Ольга";"46";"62368426";"2015";"январь";
"30";"Вера";"45";"62368427";"2015";"январь";
"31";"Евгения";"42";"62368428";"2015";"январь";
"32";"Юлия";"41";"62368429";"2015";"январь";
"33";"Ангелина";"38";"62368430";"2015";"январь";
"34";"Ирина";"36";"62368431";"2015";"январь";
"35";"Мирослава";"35";"62368432";"2015";"январь";
"36";"Амина";"34";"62368433";"2015";"январь";
"37";"Злата";"32";"62368434";"2015";"январь";
"38";"Диана";"31";"62368435";"2015";"январь";
"39";"Элина";"28";"62368436";"2015";"январь";
"40";"Эмилия";"27";"62368437";"2015";"январь";
"41";"Майя";"23";"62368438";"2015";"январь";
"42";"Марьям";"22";"62368439";"2015";"январь";
"43";"Яна";"21";"62368440";"2015";"январь";
"44";"Елена";"19";"62368441";"2015";"январь";
"45";"Милена";"19";"62368443";"2015";"январь";
"46";"Надежда";"18";"62368444";"2015";"январь";
"47";"Ника";"17";"62368445";"2015";"январь";
"48";"Сафия";"16";"62368446";"2015";"январь";
"49";"Дарина";"16";"62368448";"2015";"январь";
"50";"Ясмина";"15";"62368449";"2015";"январь";
"51";"Антонина";"15";"62368450";"2015";"январь";
"52";"Марина";"14";"62368452";"2015";"январь";
"53";"Николь";"14";"62368453";"2015";"январь";
"54";"Агата";"14";"62368454";"2015";"январь";
"55";"Карина";"13";"62368455";"2015";"январь";
"56";"Камилла";"13";"62368456";"2015";"январь";
"57";"Стефания";"13";"62368457";"2015";"январь";
"58";"Есения";"13";"62368458";"2015";"январь";
"59";"Нина";"13";"62368459";"2015";"январь";
"60";"Наталья";"12";"62368460";"2015";"январь";
"61";"Олеся";"12";"62368461";"2015";"январь";
"62";"Ариана";"11";"62368462";"2015";"январь";
"63";"Светлана";"11";"62368463";"2015";"январь";
"64";"Мадина";"11";"62368464";"2015";"январь";
"65";"Евангелина";"11";"62368465";"2015";"январь";
"66";"Аделина";"11";"62368466";"2015";"январь";
"67";"Мелания";"11";"62368467";"2015";"январь";
"68";"Камила";"10";"62368468";"2015";"январь";
"69";"Анжелика";"10";"62368469";"2015";"январь";
"70";"Малика";"9";"62368470";"2015";"январь";
"71";"Амелия";"9";"62368471";"2015";"январь";
"72";"Фатима";"9";"62368472";"2015";"январь";
"73";"Серафима";"9";"62368473";"2015";"январь";
"74";"Каролина";"9";"62368474";"2015";"январь";
"75";"Снежана";"8";"62368476";"2015";"январь";
"76";"Ярослава";"8";"62368477";"2015";"январь";
"77";"Аиша";"8";"62368478";"2015";"январь";
"78";"Адель";"8";"62368479";"2015";"январь";
"79";"Лидия";"8";"62368480";"2015";"январь";
"80";"Владислава";"8";"62368481";"2015";"январь";
"81";"Зоя";"8";"62368482";"2015";"январь";
"82";"Марьяна";"8";"62368483";"2015";"январь";
"83";"Валентина";"8";"62368484";"2015";"январь";
"84";"Лилия";"8";"62368485";"2015";"январь";
"85";"Станислава";"8";"62368486";"2015";"январь";
"86";"Эвелина";"8";"62368487";"2015";"январь";
"87";"Любовь";"7";"62368488";"2015";"январь";
"88";"Амалия";"7";"62368489";"2015";"январь";
"89";"Даниэла";"7";"62368490";"2015";"январь";
"90";"Людмила";"7";"62368491";"2015";"январь";
"91";"Алеся";"7";"62368492";"2015";"январь";
"92";"Тамара";"7";"62368493";"2015";"январь";
"93";"Ясмин";"7";"62368494";"2015";"январь";
"94";"Мила";"7";"62368495";"2015";"январь";
"95";"Анфиса";"7";"62368496";"2015";"январь";
"96";"Агния";"7";"62368497";"2015";"январь";
"97";"Альбина";"7";"62368498";"2015";"январь";
"98";"Мелисса";"6";"62368499";"2015";"январь";
"99";"Алисия";"6";"62368500";"2015";"январь";
"100";"Алия";"6";"62368501";"2015";"январь";
"101";"Мария";"286";"62368503";"2015";"февраль";
"102";"Анастасия";"215";"62368504";"2015";"февраль";
"103";"Анна";"202";"62368505";"2015";"февраль";
"104";"Ксения";"201";"62368506";"2015";"февраль";
"105";"Виктория";"173";"62368507";"2015";"февраль";
"106";"София";"170";"62368508";"2015";"февраль";
"107";"Елизавета";"169";"62368509";"2015";"февраль";
"108";"Алиса";"168";"62368510";"2015";"февраль";
"109";"Дарья";"161";"62368511";"2015";"февраль";
"110";"Полина";"161";"62368512";"2015";"февраль";
"111";"Александра";"135";"62368513";"2015";"февраль";
"112";"Варвара";"130";"62368514";"2015";"февраль";
"113";"Екатерина";"129";"62368515";"2015";"февраль";
"114";"Арина";"115";"62368516";"2015";"февраль";
"115";"Василиса";"110";"62368517";"2015";"февраль";
"116";"Вероника";"97";"62368518";"2015";"февраль";
"117";"Валерия";"93";"62368519";"2015";"февраль";
"118";"Милана";"90";"62368520";"2015";"февраль";
"119";"Софья";"86";"62368521";"2015";"февраль";
"120";"Ева";"82";"62368522";"2015";"февраль";
"121";"Татьяна";"64";"62368523";"2015";"февраль";
"122";"Кира";"60";"62368524";"2015";"февраль";
"123";"Ульяна";"58";"62368525";"2015";"февраль";
"124";"Алина";"54";"62368526";"2015";"февраль";
"125";"Алёна";"52";"62368527";"2015";"февраль";
"126";"Маргарита";"50";"62368528";"2015";"февраль";
"127";"Таисия";"49";"62368529";"2015";"февраль";
"128";"Ольга";"48";"62368530";"2015";"февраль";
"129";"Вера";"47";"62368531";"2015";"февраль";
"130";"Кристина";"45";"62368532";"2015";"февраль";
"131";"Диана";"40";"62368533";"2015";"февраль";
"132";"Яна";"34";"62368534";"2015";"февраль";
"133";"Мирослава";"31";"62368535";"2015";"февраль";
"134";"Амина";"30";"62368536";"2015";"февраль";
"135";"Ангелина";"28";"62368537";"2015";"февраль";
