"","spheres","company"
"1","Автомобильные перевозки","ТрансКом-Авиа"
"2","Авиаперевозки","ТрансКом-Авиа"
"3","Доставка сборных грузов","ТрансКом-Авиа"
"4","Автомобильные перевозки","AsstrA"
"5","Авиаперевозки","AsstrA"
"6","ЖД перевозки","AsstrA"
"7","Морские перевозки","AsstrA"
"8","Перевозка опасных грузов","AsstrA"
"9","Складская логистика","AsstrA"
"10","Таможенное оформление","AsstrA"
"11","Консалтинг","AsstrA"
"12","Сертификация","AsstrA"
"13","Автомобильные перевозки","City Express"
"14","Авиаперевозки","City Express"
"15","ЖД перевозки","City Express"
"16","Экспресс-доставка","City Express"
"17","Таможенное оформление","City Express"
"18","Автомобильные перевозки","DHL"
"19","Авиаперевозки","DHL"
"20","ЖД перевозки","DHL"
"21","Морские перевозки","DHL"
"22","Экспресс-доставка","DHL"
"23","Складская логистика","DHL"
"24","Таможенное оформление","DHL"
"25","Консалтинг","DHL"
"26","Сертификация","DHL"
"27","Автомобильные перевозки","DPD в России"
"28","Авиаперевозки","DPD в России"
"29","ЖД перевозки","DPD в России"
"30","Морские перевозки","DPD в России"
"31","Перевозка опасных грузов","DPD в России"
"32","Экспресс-доставка","DPD в России"
"33","Складская логистика","DPD в России"
"34","Таможенное оформление","DPD в России"
"35","Консалтинг","DPD в России"
"36","Сертификация","DPD в России"
"37","Автомобильные перевозки","FedEx"
"38","Авиаперевозки","FedEx"
"39","Экспресс-доставка","FedEx"
"40","Таможенное оформление","FedEx"
"41","ЖД перевозки","FESCO, Транспортная группа"
"42","Морские перевозки","FESCO, Транспортная группа"
"43","Таможенное оформление","FESCO, Транспортная группа"
"44","Автомобильные перевозки","FM Logistic"
"45","Авиаперевозки","FM Logistic"
"46","ЖД перевозки","FM Logistic"
"47","Морские перевозки","FM Logistic"
"48","Складская логистика","FM Logistic"
"49","Таможенное оформление","FM Logistic"
"50","Автомобильные перевозки","Geodis в России"
"51","Авиаперевозки","Geodis в России"
"52","ЖД перевозки","Geodis в России"
"53","Морские перевозки","Geodis в России"
"54","Экспресс-доставка","Geodis в России"
"55","Таможенное оформление","Geodis в России"
"56","Автомобильные перевозки","Itella в России"
"57","Авиаперевозки","Itella в России"
"58","ЖД перевозки","Itella в России"
"59","Морские перевозки","Itella в России"
"60","Складская логистика","Itella в России"
"61","Таможенное оформление","Itella в России"
"62","Автомобильные перевозки","NAWINIA, Холдинг"
"63","Авиаперевозки","NAWINIA, Холдинг"
"64","ЖД перевозки","NAWINIA, Холдинг"
"65","Морские перевозки","NAWINIA, Холдинг"
"66","Складская логистика","NAWINIA, Холдинг"
"67","Таможенное оформление","NAWINIA, Холдинг"
"68","Автомобильные перевозки","Pony Express"
"69","Авиаперевозки","Pony Express"
"70","ЖД перевозки","Pony Express"
"71","Морские перевозки","Pony Express"
"72","Перевозка опасных грузов","Pony Express"
"73","Экспресс-доставка","Pony Express"
"74","Складская логистика","Pony Express"
"75","Таможенное оформление","Pony Express"
