Mode	MillOEE
4	47.251712
3	45.351027
2	41.671423
0	49.411149
1	52.555175
3	45.668760
4	47.836758
2	41.840753
0	47.127093
1	51.427892
3	46.816020
4	48.791857
2	41.530632
0	48.679604
1	52.320205
3	45.630708
4	47.860540
2	42.511416
0	47.317352
1	51.733257
3	43.797565
4	49.095320
2	42.248858
0	50.210236
1	50.795282
3	48.029871
4	48.986872
2	42.240297
0	48.994482
1	50.667808
3	45.335807
4	48.118341
2	42.605594
0	50.471842
1	51.893075
3	42.529490
4	47.674087
2	42.550419
0	48.463661
1	53.044140
3	48.359970
4	48.701484
2	41.194825
0	50.993151
1	50.181697
3	48.245814
4	47.642694
2	42.238394
0	47.567542
1	50.390030
3	46.967275
4	50.790525
2	41.873097
0	48.128805
1	52.080479
3	44.678463
4	47.173706
2	42.556126
0	49.949581
1	50.279680
3	46.172945
4	48.590183
2	39.817352
1	50.884703
0	48.546423
3	45.859970
4	47.070967
2	40.734399
1	50.897070
0	49.709855
3	46.446918
4	48.539764
2	42.640791
1	52.620814
0	49.488204
3	47.283105
4	48.142123
2	41.432648
1	50.523212
0	48.256279
3	43.151636
4	48.129756
2	42.863394
1	50.709665
0	48.822298
3	45.049467
4	48.525495
2	42.088090
1	50.975076
0	49.100076
3	47.691210
4	48.381849
2	41.975837
1	51.961568
0	48.707192
3	47.609399
4	49.678463
2	43.216324
1	50.699201
0	48.511225
3	42.759703
4	48.578767
2	42.904300
1	51.328006
3	44.432078
0	49.040145
4	48.077435
2	44.045852
1	51.060693
3	46.015030
0	49.391172
4	49.471081
2	42.337329
1	50.741058
3	47.959475
0	49.024924
4	48.509323
2	42.955670
1	50.340563
3	48.541667
0	49.890601
4	47.707382
2	42.257420
1	50.618341
3	43.939307
0	50.472793
4	48.700533
2	42.819635
1	51.640030
3	47.330670
0	49.701294
4	47.521880
2	41.216705
1	50.175989
3	44.549087
0	49.941971
4	49.839231
2	40.644026
1	51.913052
3	45.508942
0	47.140411
4	48.828957
2	42.011035
3	47.689307
1	52.343988
0	48.078387
4	47.708333
2	42.818683
3	47.315449
1	52.629376
0	49.898212
4	49.261796
2	41.256659
3	44.619482
1	50.564117
0	49.654680
4	48.867960
3	47.015791
2	41.756088
1	50.270167
0	49.708904
4	47.633181
3	44.862062
2	41.789384
1	51.651446
0	47.716895
4	47.670282
3	44.220890
2	42.273592
1	51.224315
0	49.310312
4	47.448630
3	47.268836
2	44.046804
1	51.892123
0	48.897451
4	48.178272
3	44.960997
2	44.349315
1	51.164384
0	48.291476
4	47.429604
3	44.520548
2	42.670282
1	49.479642
0	48.604452
4	47.915715
3	47.924277
2	43.060312
1	50.010464
0	48.728120
4	48.295282
3	45.329148
2	43.128805
1	51.460236
0	47.955670
4	48.966895
3	43.860350
2	42.700723
1	50.485160
0	50.418569
4	47.953767
3	42.097603
2	43.930746
1	50.395738
0	46.558219
4	47.386796
3	44.547184
2	41.033105
1	51.161530
0	49.064878
4	47.431507
3	44.299848
2	42.642694
1	50.646880
0	48.458904
4	46.959665
3	48.683409
2	40.974125
1	52.154680
0	48.439878
4	48.251522
3	49.258942
2	41.510654
1	50.182648
0	48.895548
4	47.717846
3	47.446728
2	42.284056
1	52.535198
0	47.744482
3	45.877093
4	48.160198
2	40.820015
1	50.521309
0	49.453006
3	41.412671
4	48.771880
2	43.099315
1	52.754947
0	49.883942
3	43.406583
4	48.863204
2	43.696728
1	52.825342
0	49.854452
3	47.105213
4	48.793760
2	41.496385
1	49.914384
0	48.331431
3	46.476408
4	48.721461
2	43.476027
1	51.616248
3	47.782534
0	49.108638
4	47.607496
2	43.801370
1	50.618341
3	47.246956
0	50.164574
4	47.963280
2	43.496005
1	50.754376
3	45.939878
0	49.983828
4	47.857686
2	44.191400
1	50.908486
3	45.147451
0	51.144406
4	49.179985
2	41.832192
3	46.202435
1	50.382420
0	50.545091
4	47.607496
2	41.951104
3	43.520738
1	51.681887
0	49.138128
4	46.946347
2	41.935883
3	46.915906
1	50.909437
0	49.656583
4	47.602740
2	40.044711
3	48.407534
1	52.168950
0	49.071537
4	47.693113
2	42.321157
3	47.697869
1	52.842466
0	48.998288
4	48.197298
3	45.730594
2	42.765411
1	52.050038
4	47.664574
0	49.630898
3	51.059741
2	40.936073
1	50.814307
4	48.420852
0	49.578577
3	51.133942
2	43.305746
1	53.224886
4	47.132801
0	48.593037
3	45.275875
2	40.716324
1	51.008371
4	47.812976
0	48.328577
3	47.922374
2	42.011035
1	52.144216
4	48.104072
0	48.732877
3	45.648782
2	43.738584
1	50.779110
4	47.439117
0	48.092656
3	47.832002
2	40.862823
1	53.178272
4	49.353120
0	50.761986
3	45.378615
2	42.848174
1	50.333904
4	49.015411
0	48.988775
3	44.790715
2	42.823440
1	51.119673
4	48.430365
0	48.461758
3	47.014840
2	40.855213
1	51.061644
4	47.567542
0	51.005518
3	44.923896
2	41.044521
1	50.217846
4	47.690259
0	48.330479
3	45.992199
2	40.546043
1	50.194064
4	47.240297
0	50.535578
3	47.939498
2	41.283295
1	51.397451
4	48.079338
0	51.078767
3	46.432648
2	42.750190
1	51.362253
4	48.629186
0	48.989726
3	50.090373
2	42.812976
1	51.440259
4	47.692161
0	48.894597
3	43.513128
2	43.324772
1	51.032154
4	48.080289
0	47.233638
3	50.255898
2	42.308790
1	50.499429
4	48.290525
0	47.649353
3	47.599886
2	42.597983
1	51.392694
4	49.812595
0	48.290525
3	47.371575
2	42.798706
1	51.559170
4	47.314498
0	46.636225
3	46.031202
2	41.740868
1	51.276636
4	47.680746
0	49.178082
3	46.139650
2	43.868912
1	50.854262
4	48.529300
0	48.620624
3	46.488775
2	42.089992
1	52.549467
4	47.863394
0	47.791096
3	47.137557
2	41.375571
1	50.177892
4	48.530251
3	44.858257
0	50.039003
2	43.726218
1	52.435312
4	48.414193
3	41.874049
0	50.367199
2	40.801941
1	53.171613
4	48.597793
3	44.688927
0	50.522260
2	41.349886
4	47.863394
1	53.968798
3	42.572298
0	47.634132
2	43.198250
4	47.209855
3	42.620814
1	49.831621
0	48.380898
2	42.409627
4	48.696728
3	47.365868
1	52.774924
0	47.652207
2	40.585046
3	48.457953
4	49.825913
1	52.921423
0	49.599505
2	40.970320
3	47.799658
4	47.212709
1	53.525495
0	46.661910
2	43.028919
3	46.217656
4	47.636986
1	52.721651
0	49.667047
2	42.797755
3	45.683029
4	47.929033
1	50.324391
0	50.176941
2	41.597222
3	48.090753
4	48.969749
1	52.282154
0	49.713661
2	43.346651
3	47.608447
4	48.632991
1	52.000571
0	49.677511
2	43.279110
3	48.577816
4	47.512367
1	51.738965
0	50.377664
2	42.359209
3	47.128044
4	48.256279
1	50.819064
0	50.677321
2	40.939878
3	41.497336
4	46.852169
1	51.135845
0	48.773782
2	43.622527
3	45.438546
4	47.974696
1	50.876142
0	48.352359
3	44.600457
2	40.415715
4	48.323820
1	53.022260
0	49.445396
3	44.544330
2	43.309551
4	48.295282
1	52.512367
0	47.617009
3	51.313737
2	41.852169
4	47.732116
1	52.405822
0	48.323820
3	48.580670
2	39.941020
4	47.500951
1	53.457953
0	49.349315
3	46.927321
2	42.797755
4	47.899543
1	51.420282
0	49.205670
3	46.952055
2	44.471081
4	48.618721
1	51.171994
0	50.084665
3	44.013508
2	42.573250
4	48.191591
1	50.527968
0	50.737253
3	49.647070
2	41.996766
4	47.889079
1	50.775304
0	46.753234
3	47.041476
2	41.068303
4	48.144026
1	51.516362
0	48.116438
3	43.407534
2	38.465563
4	48.413242
1	50.741058
0	47.654110
3	44.512938
2	43.713851
4	48.447489
1	53.107877
