Scenario	nLines	nTechs1	nTechs2	nTechs3	nTechs123	nSalesmen	Cost	Rejected
Base case	26	0	0	0	0	0	21314.084427894777	0.12061711079943899
Base case	26	0	0	0	0	0	25017.02528270386	0.12881806108897742
Base case	26	0	0	0	0	0	24329.54017738893	0.1504297994269341
Base case	26	0	0	0	0	0	20521.502636931466	0.11700680272108843
Base case	26	0	0	0	0	0	22558.960759945658	0.1437578814627995
Base case	26	0	0	0	0	0	22165.563711878684	0.10425240054869685
Base case	26	0	0	0	0	0	19072.929944935815	0.12586445366528354
Base case	26	0	0	0	0	0	20293.80858449339	0.09640287769784173
Base case	26	0	0	0	0	0	19802.664567110183	0.12283236994219653
Base case	26	0	0	0	0	0	20808.859300520915	0.1145975443383356
Base case	26	0	0	0	0	0	20910.569970305045	0.07714701601164484
Base case	26	0	0	0	0	0	22667.645887079125	0.16624040920716113
Base case	26	0	0	0	0	0	21291.09062732431	0.150066401062417
Base case	26	0	0	0	0	0	19568.578736255346	0.0784313725490196
Base case	26	0	0	0	0	0	20134.366534946435	0.12447552447552447
Base case	26	0	0	0	0	0	21209.949160528857	0.12297297297297298
Base case	26	0	0	0	0	0	20910.810443929702	0.14206128133704735
Base case	26	0	0	0	0	0	26376.83409761718	0.1673582295988935
Base case	26	0	0	0	0	0	22694.007485565115	0.1388888888888889
Base case	26	0	0	0	0	0	20664.62566991402	0.1440443213296399
Base case	26	0	0	0	0	0	21849.404189711513	0.13421052631578947
Base case	26	0	0	0	0	0	25136.744542701195	0.17523056653491437
Base case	26	0	0	0	0	0	24454.147113588	0.1504424778761062
Base case	26	0	0	0	0	0	21557.312483362053	0.12
Base case	26	0	0	0	0	0	22141.190601150858	0.08906882591093117
Base case	26	0	0	0	0	0	19497.953602681715	0.08946608946608947
Base case	26	0	0	0	0	0	20221.68240102914	0.08028169014084507
Base case	26	0	0	0	0	0	18869.869301997584	0.09699453551912568
Base case	26	0	0	0	0	0	20008.488606942385	0.10497237569060773
Base case	26	0	0	0	0	0	24400.720481133474	0.11690140845070422
Base case	26	0	0	0	0	0	21468.97118958536	0.11862068965517242
Base case	26	0	0	0	0	0	21266.887419505452	0.17565872020075282
Base case	26	0	0	0	0	0	19408.907031742685	0.09361702127659574
Base case	26	0	0	0	0	0	21759.51703571373	0.10767160161507403
Base case	26	0	0	0	0	0	22594.160494972457	0.09636871508379888
Base case	26	0	0	0	0	0	24480.484586259223	0.13956639566395665
Base case	26	0	0	0	0	0	21230.536003420326	0.10714285714285714
Base case	26	0	0	0	0	0	19783.626126186835	0.07010014306151645
Base case	26	0	0	0	0	0	21333.426151098407	0.14073071718538566
Base case	26	0	0	0	0	0	22144.02654317216	0.12465753424657534
Base case	26	0	0	0	0	0	21108.28153759377	0.12465373961218837
Base case	26	0	0	0	0	0	20586.35509032733	0.0744047619047619
Base case	26	0	0	0	0	0	21550.04244472765	0.13820078226857888
Base case	26	0	0	0	0	0	21541.99196383735	0.11819389110225764
Base case	26	0	0	0	0	0	29266.434374444245	0.18617021276595744
Base case	26	0	0	0	0	0	21094.56751642677	0.125
Base case	26	0	0	0	0	0	19810.064354626164	0.10884353741496598
Base case	26	0	0	0	0	0	28983.661005015547	0.1615598885793872
Base case	26	0	0	0	0	0	25669.36012915335	0.16348773841961853
Base case	26	0	0	0	0	0	23208.230371459395	0.14030261348005502
Base case	26	0	0	0	0	0	20556.27106121963	0.11866666666666667
Base case	26	0	0	0	0	0	20579.40169702372	0.0723589001447178
Base case	26	0	0	0	0	0	25762.676907279492	0.1590594744121715
Base case	26	0	0	0	0	0	21444.500963650557	0.12602739726027398
Base case	26	0	0	0	0	0	24846.474013147075	0.13215258855585832
Base case	26	0	0	0	0	0	21497.60021278895	0.16559691912708602
Base case	26	0	0	0	0	0	20932.476142569525	0.08104196816208394
Base case	26	0	0	0	0	0	22089.79928408358	0.11351351351351352
Base case	26	0	0	0	0	0	24934.200391973332	0.16897506925207756
Base case	26	0	0	0	0	0	23141.083849275747	0.11864406779661017
Base case	26	0	0	0	0	0	23353.207816097656	0.14482758620689656
Base case	26	0	0	0	0	0	23091.28197659189	0.11634349030470914
Base case	26	0	0	0	0	0	20305.890515953684	0.11748633879781421
Base case	26	0	0	0	0	0	19866.73013247294	0.10277777777777777
Base case	26	0	0	0	0	0	21369.67192853518	0.10152990264255911
Base case	26	0	0	0	0	0	23192.591857243595	0.14763231197771587
Base case	26	0	0	0	0	0	26210.304530867426	0.11989100817438691
Base case	26	0	0	0	0	0	23542.807176661052	0.1542483660130719
Base case	26	0	0	0	0	0	21353.665015631206	0.07296137339055794
Base case	26	0	0	0	0	0	19099.165769713993	0.1046831955922865
Base case	26	0	0	0	0	0	18845.549247981762	0.10245310245310245
Base case	26	0	0	0	0	0	19350.360902399905	0.12043301759133965
Base case	26	0	0	0	0	0	25014.717906316593	0.14888010540184454
Base case	26	0	0	0	0	0	21229.881909107255	0.09152086137281291
Base case	26	0	0	0	0	0	22296.56518721677	0.12466124661246612
Base case	26	0	0	0	0	0	20522.162368704405	0.10402219140083217
Base case	26	0	0	0	0	0	20565.217164791815	0.0637329286798179
Base case	26	0	0	0	0	0	22073.79495903488	0.0847457627118644
Base case	26	0	0	0	0	0	21258.75533708999	0.13717421124828533
Base case	26	0	0	0	0	0	21454.708125714522	0.11907983761840325
Base case	26	0	0	0	0	0	21400.944822976024	0.09917355371900827
