Scenario	nLines	nTechs1	nTechs2	nTechs3	nTechs123	nSalesmen	Cost	Rejected
Optimized	26	1	1	0	2	2	22703.75347881353	0.07285714285714286
Optimized	26	1	1	0	2	2	21003.852902576393	0.03318903318903319
Optimized	26	1	1	0	2	2	20192.790745533814	0.03292181069958848
Optimized	26	1	1	0	2	2	21321.26478679549	0.04341926729986431
Optimized	26	1	1	0	2	2	19350.710576382062	0.03607503607503607
Optimized	26	1	1	0	2	2	24716.329081758162	0.06388888888888888
Optimized	26	1	1	0	2	2	25098.75908415318	0.10810810810810811
Optimized	26	1	1	0	2	2	21183.49266318857	0.03536067892503536
Optimized	26	1	1	0	2	2	20546.29265000618	0.052702702702702706
Optimized	26	1	1	0	2	2	21638.99440396992	0.0636237897648686
Optimized	26	1	1	0	2	2	21543.03400682923	0.02710413694721826
Optimized	26	1	1	0	2	2	23221.006277151348	0.046898638426626324
Optimized	26	1	1	0	2	2	21482.1608526412	0.045706371191135735
Optimized	26	1	1	0	2	2	20241.359383049916	0.037037037037037035
Optimized	26	1	1	0	2	2	20565.986202937926	0.06430446194225722
Optimized	26	1	1	0	2	2	21357.424174355605	0.031292517006802724
Optimized	26	1	1	0	2	2	19889.657398321408	0.03776223776223776
Optimized	26	1	1	0	2	2	21007.9045903825	0.038461538461538464
Optimized	26	1	1	0	2	2	20968.079714108542	0.04264099037138927
Optimized	26	1	1	0	2	2	21063.596985841607	0.08571428571428572
Optimized	26	1	1	0	2	2	21053.48777771528	0.06639566395663957
Optimized	26	1	1	0	2	2	23874.75812747086	0.05585106382978723
Optimized	26	1	1	0	2	2	18869.405634741255	0.018258426966292134
Optimized	26	1	1	0	2	2	25030.82351967971	0.08586525759577279
Optimized	26	1	1	0	2	2	21271.725834040557	0.10065359477124183
Optimized	26	1	1	0	2	2	23474.536115999155	0.062411347517730496
Optimized	26	1	1	0	2	2	23000.985606294216	0.08970976253298153
Optimized	26	1	1	0	2	2	24516.295820842694	0.10821382007822686
Optimized	26	1	1	0	2	2	26273.584246605795	0.12037037037037036
Optimized	26	1	1	0	2	2	21555.12724987096	0.03678474114441417
Optimized	26	1	1	0	2	2	19570.694673380905	0.03477051460361613
Optimized	26	1	1	0	2	2	20987.443075157727	0.02702702702702703
Optimized	26	1	1	0	2	2	23289.69373788691	0.06456043956043957
Optimized	26	1	1	0	2	2	19513.169787388415	0.027700831024930747
Optimized	26	1	1	0	2	2	19808.54416134206	0.026499302649930265
Optimized	26	1	1	0	2	2	22736.39517498701	0.05333333333333334
Optimized	26	1	1	0	2	2	20106.92416218915	0.026988636363636364
Optimized	26	1	1	0	2	2	20298.521732146837	0.037900874635568516
Optimized	26	1	1	0	2	2	19576.88212127994	0.034236804564907276
Optimized	26	1	1	0	2	2	20333.693620754777	0.03225806451612903
Optimized	26	1	1	0	2	2	22742.5832767365	0.04927536231884058
Optimized	26	1	1	0	2	2	22919.229498138542	0.06130790190735695
Optimized	26	1	1	0	2	2	21422.14516753644	0.018105849582172703
Optimized	26	1	1	0	2	2	21252.998305024557	0.032303370786516857
Optimized	26	1	1	0	2	2	18710.253939709808	0.020114942528735632
Optimized	26	1	1	0	2	2	18858.114123655512	0.00430416068866571
Optimized	26	1	1	0	2	2	18609.228659318964	0.012139605462822459
Optimized	26	1	1	0	2	2	22638.74929609953	0.03225806451612903
Optimized	26	1	1	0	2	2	24039.525833504467	0.061711079943899017
Optimized	26	1	1	0	2	2	22364.292548679205	0.04032258064516129
Optimized	26	1	1	0	2	2	20902.302634544565	0.062411347517730496
Optimized	26	1	1	0	2	2	21044.15918195251	0.021834061135371178
Optimized	26	1	1	0	2	2	20725.108537674016	0.028169014084507043
Optimized	26	1	1	0	2	2	23409.14210816759	0.026587887740029542
Optimized	26	1	1	0	2	2	22003.27657465145	0.07057256990679095
Optimized	26	1	1	0	2	2	20362.600143288295	0.032432432432432434
Optimized	26	1	1	0	2	2	19689.00338749858	0.03319502074688797
Optimized	26	1	1	0	2	2	19441.567261722448	0.03888888888888889
Optimized	26	1	1	0	2	2	20449.630782104363	0.03654970760233918
Optimized	26	1	1	0	2	2	21638.239247845966	0.031073446327683617
Optimized	26	1	1	0	2	2	19859.298173049356	0.029689608636977057
Optimized	26	1	1	0	2	2	21524.903494129452	0.03278688524590164
Optimized	26	1	1	0	2	2	21206.092701466125	0.04788732394366197
Optimized	26	1	1	0	2	2	20659.943572161217	0.046413502109704644
Optimized	26	1	1	0	2	2	21621.187845113258	0.05510752688172043
Optimized	26	1	1	0	2	2	22149.391815250245	0.05810810810810811
Optimized	26	1	1	0	2	2	22362.028634616436	0.03137789904502047
