Year;Time;Athlete;Location
1971;;;
1972;;;
1973;56,7; Danuta Piecyk (POL);Warsaw
1974;56,51; Krystyna Kacperczyk (POL);Augsburg
1975;;;
1976;;;
1977;55,63; Karin Ro?ley (GDR);Helsinki
1978;54,89; Tatyana Zelentsova (URS);Prague
1979;54,78; Marina Stepanova (URS);Moscow
1980;54,28; Karin Ro?ley (GDR);Jena
1981;54,79; Ellen Fiedler (GDR);Jena
1982;54,57; Ann-Louise Skoglund (SWE);Athens
1983;54,02; Anna Ambrazien? (URS);Moscow
1984;53,58; Margarita Ponomaryova (URS);Kiev
1985;53,55; Sabine Busch (GDR);Berlin
1986;52,94; Marina Stepanova (URS);Tashkent
1987;53,24; Sabine Busch (GDR);Potsdam
1988;53,17; Debbie Flintoff-King (AUS);Seoul
1989;53,37; Sandra Farmer-Patrick (USA);New York City
1990;53,62; Tatyana Ledovskaya (URS);Split
1991;53,11; Tatyana Ledovskaya (URS);Tokyo
1992;53,23; Sally Gunnell (GBR);Barcelona
1993;52,74; Sally Gunnell (GBR);Stuttgart
1994;53,33; Sally Gunnell (GBR);Helsinki
1995;52,61; Kim Batten (USA);Gothenburg
1996;52,82; Deon Hemmings (JAM);Atlanta
1997;52,97; Kim Batten (USA)  Nezha Bidouane (MAR);Indianapolis, Athens
1998;52,74; Kim Batten (USA);Monaco
1999;52,89; Daim? Pern?a (CUB);Seville
2000;53,02; Irina Privalova (RUS);Sydney
2001;53,34; Nezha Bidouane (MAR);Edmonton
2002;53,1; Yuliya Pechonkina (RUS);Tula
2003;52,34; Yuliya Pechonkina (RUS);Tula
2004;52,77; Fan? Halki? (GRE);Athens
2005;52,9; Yuliya Pechonkina (RUS);Helsinki
2006;53,02; Lashinda Demus (USA);Athens
2007;53,28; Tiffany Williams (USA);Indianapolis
2008;52,64; Melaine Walker (JAM);Beijing
2009;52,42; Melaine Walker (JAM);Berlin
2010;52,82; Lashinda Demus (USA);Rome
2011;52,47; Lashinda Demus (USA);Daegu
2012;52,7; Natalya Antyukh (RUS);London
2013;52,83; Zuzana Hejnov? (CZE);Moscow
2014;53,41; Kaliese Spencer (JAM);Moscow
2015;53,5; Zuzana Hejnov? (CZE);Beijing
2016;52,88; Dalilah Muhammad (USA);Eugene
2017;52,64; Dalilah Muhammad (USA);Sacramento
2018;52,75; Sydney McLaughlin (USA);Knoxville
2019;52,16; Dalilah Muhammad (USA);Doha
