contract_id;age;gender;children;profession;customer_type;multiple_cars;driving_licence_years;car_category;annual_kilometers;gearbox;fuel;claim
1211;44;Woman;4 and more;Unemployed;Agency;Yes;19;Sedan;36087;Automatic;Diesel;No
1212;21;Woman;0;Private Sector - Director;On-line;No;3;SUV;30367;Manual;Diesel;No
1213;76;Woman;1;Private Sector - Employee;Agency;No;19;SUV;27640;Automatic;Diesel;No
1214;29;Woman;4 and more;Private Sector - Employee;On-line;No;11;Sedan;22780;Automatic;Diesel;No
1215;44;Man;0;Private Sector - Director;Agency;No;11;SUV;36477;Automatic;Diesel;No
1216;50;Man;4 and more;Independant;On-line;No;9;SUV;30134;Automatic;Diesel;No
1219;68;Man;4 and more;Private Sector - Director;Agency;Yes;11;SUV;18771;Automatic;Diesel;No
1220;33;Woman;0;Retired;Agency;No;14;Sport;34066;Automatic;Diesel;No
1221;58;Woman;4 and more;Retired;Agency;No;4;Sedan;48149;Manual;Diesel;No
1222;20;Man;0;Public Sector - Director;Agency;No;2;Sport;10862;Manual;Petrol;No
1223;40;Woman;2;Private Sector - Manager;Agency;Yes;21;Sport;50356;Automatic;Diesel;No
1224;59;Woman;0;Retired;On-line;Yes;17;Sport;34657;Automatic;Petrol;Yes
1226;19;Man;0;Unemployed;On-line;No;1;Sport;21166;Automatic;Petrol;No
1227;55;Woman;0;Public Sector - Manager;On-line;No;19;SUV;24408;Automatic;Petrol;No
1228;64;Man;1;Student;Agency;No;19;Sedan;23147;Automatic;Diesel;No
1230;53;Man;3;Independant;Agency;No;6;Sedan;24022;Automatic;Diesel;No
1231;28;Woman;1;Unemployed;Agency;No;10;Sport;38997;Automatic;Diesel;Yes
1233;51;Woman;2;Student;Agency;Yes;17;SUV;44457;Automatic;Petrol;No
1234;75;Man;0;Public Sector - Manager;Agency;No;7;SUV;33446;Manual;Diesel;No
1235;42;Man;4 and more;Retired;Agency;No;20;Sedan;23616;Manual;Petrol;No
1236;41;Man;1;Independant;Agency;Yes;10;Sedan;19329;Automatic;Petrol;No
1238;37;Man;4 and more;Public Sector - Manager;Agency;Yes;11;Sedan;33564;Manual;Petrol;No
1239;57;Woman;4 and more;Retired;Agency;No;22;Sedan;17456;Manual;Diesel;No
1240;48;Man;1;Student;Agency;No;21;Sport;21601;Automatic;Diesel;No
1241;41;Woman;2;Private Sector - Director;Agency;No;18;SUV;19822;Automatic;Petrol;No
1242;79;Woman;0;Independant;Agency;No;18;Sport;29581;Automatic;Petrol;Yes
1243;40;Woman;4 and more;Unemployed;Agency;No;10;Sedan;16287;Manual;Petrol;No
1244;51;Woman;0;Independant;On-line;Yes;22;Sedan;38373;Automatic;Petrol;No
1245;44;Man;0;Government;Agency;No;10;Sedan;38983;Automatic;Petrol;No
1246;42;Man;1;Public Sector - Employee;Agency;No;22;Sport;27642;Automatic;Petrol;No
1247;59;Woman;2;Retired;On-line;No;6;SUV;29615;Automatic;Diesel;No
1248;56;Man;2;Independant;Agency;No;13;Sedan;23073;Manual;Diesel;No
1249;28;Woman;0;Independant;Agency;Yes;8;SUV;16919;Automatic;Petrol;No
1250;70;Woman;4 and more;Public Sector - Employee;Agency;Yes;4;Sport;16239;Manual;Diesel;No
1253;77;Man;1;Unemployed;Agency;Yes;12;Sport;21635;Manual;Diesel;No
1255;19;Woman;0;Student;Agency;No;1;Sedan;37749;Manual;Petrol;No
1256;47;Man;1;Public Sector - Director;Agency;No;13;SUV;21978;Automatic;Diesel;No
1257;81;Woman;0;Independant;On-line;No;9;SUV;20539;Manual;Diesel;Yes
1258;47;Woman;2;Private Sector - Director;Agency;Yes;16;Sport;19332;Automatic;Diesel;No
1259;56;Woman;0;Retired;Agency;Yes;22;SUV;13206;Manual;Petrol;Yes
1260;22;Man;2;Private Sector - Manager;On-line;No;4;Sport;13569;Automatic;Diesel;No
1261;21;Woman;0;Private Sector - Manager;Agency;No;3;SUV;21355;Automatic;Petrol;No
1262;22;Woman;1;Public Sector - Director;Agency;No;4;Sport;22185;Manual;Petrol;No
1263;56;Woman;4 and more;Student;On-line;Yes;14;Sport;19787;Automatic;Petrol;No
1265;21;Woman;0;Private Sector - Director;Agency;No;3;SUV;46500;Automatic;Petrol;No
1266;54;Woman;2;Retired;Agency;No;10;SUV;31462;Automatic;Petrol;No
1268;77;Man;4 and more;Government;Agency;No;9;SUV;23168;Manual;Petrol;No
1269;57;Woman;2;Unemployed;On-line;No;12;Sedan;21298;Automatic;Diesel;No
1270;38;Woman;4 and more;Public Sector - Director;Agency;No;10;Sport;24934;Automatic;Diesel;No
1271;85;Man;4 and more;Private Sector - Manager;Agency;Yes;15;SUV;21417;Automatic;Diesel;No
1272;23;Woman;4 and more;Retired;Agency;Yes;5;SUV;32213;Manual;Diesel;No
1273;80;Man;4 and more;Unemployed;On-line;Yes;4;Sedan;16620;Manual;Diesel;No
1274;21;Man;2;Public Sector - Employee;On-line;No;3;Sedan;15041;Manual;Diesel;No
1275;35;Man;2;Retired;Agency;Yes;10;SUV;25082;Manual;Petrol;No
1276;59;Man;2;Public Sector - Director;Agency;Yes;15;Sedan;26783;Automatic;Petrol;No
1277;20;Woman;2;Independant;Agency;Yes;2;SUV;18622;Automatic;Diesel;No
1278;38;Man;0;Independant;Agency;Yes;20;Sport;19085;Automatic;Diesel;No
1279;31;Woman;2;Public Sector - Director;Agency;No;13;Sedan;25438;Automatic;Diesel;No
1282;38;Woman;2;Public Sector - Employee;Agency;Yes;6;SUV;22456;Manual;Diesel;No
1283;48;Man;0;Unemployed;Agency;Yes;14;Sport;18803;Automatic;Diesel;Yes
1285;67;Man;2;Student;Agency;No;10;SUV;14960;Automatic;Diesel;No
1286;68;Man;0;Student;Agency;Yes;8;SUV;24660;Manual;Petrol;No
1288;86;Woman;2;Private Sector - Manager;Agency;No;14;SUV;54673;Automatic;Diesel;No
1289;50;Woman;0;Government;On-line;No;21;Sedan;14089;Manual;Diesel;Yes
1290;41;Man;2;Public Sector - Manager;On-line;No;10;Sport;50673;Manual;Diesel;Yes
1291;56;Woman;4 and more;Independant;Agency;No;9;Sedan;15678;Automatic;Diesel;No
1292;76;Woman;1;Public Sector - Employee;On-line;No;10;Sport;35460;Manual;Petrol;No
1293;45;Man;0;Unemployed;On-line;Yes;18;Sedan;34158;Automatic;Diesel;No
1294;72;Woman;4 and more;Public Sector - Manager;Agency;No;7;Sedan;32266;Automatic;Diesel;No
1297;25;Woman;0;Retired;Agency;Yes;5;Sport;25574;Automatic;Diesel;No
1298;66;Woman;3;Public Sector - Employee;Agency;Yes;18;Sport;30947;Manual;Diesel;No
1299;40;Man;0;Private Sector - Manager;Agency;No;13;Sport;24476;Manual;Diesel;No
