date;men;women;jewel;mail;page;phone;print;service;MONTH_;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;period
01.01.1989;11357,92;16578,93;10776,38;7978;73;34;22294,48;20;1;1;0;0;0;0;0;0;0;0;0;0;0;1
01.02.1989;10605,95;18236,13;10821,97;8290;88;29;27426,47;20;2;0;1;0;0;0;0;0;0;0;0;0;0;2
01.03.1989;16998,57;43393,55;22845,79;8029;65;24;27978,66;26;3;0;0;1;0;0;0;0;0;0;0;0;0;3
01.04.1989;6563,75;30908,49;11102,62;7752;85;20;28949,65;22;4;0;0;0;1;0;0;0;0;0;0;0;0;4
01.05.1989;6607,69;28701,58;16066,57;8685;74;17;22642,27;21;5;0;0;0;0;1;0;0;0;0;0;0;0;5
01.06.1989;9839,00;29647,57;11061,28;7847;87;30;27210,61;23;6;0;0;0;0;0;1;0;0;0;0;0;0;6
01.07.1989;9398,32;31141,51;11328,97;7881;79;28;26632,96;22;7;0;0;0;0;0;0;1;0;0;0;0;0;7
01.08.1989;10395,53;31177,31;16788,87;8121;72;27;30374,97;20;8;0;0;0;0;0;0;0;1;0;0;0;0;8
01.09.1989;11663,13;30672,37;14452,61;7811;83;35;26794,79;15;9;0;0;0;0;0;0;0;0;1;0;0;0;9
01.10.1989;12805,22;37633,38;16055,82;8706;111;25;32808,14;20;10;0;0;0;0;0;0;0;0;0;1;0;0;10
01.11.1989;13636,25;33890,92;24556,51;8811;74;30;28589,74;16;11;0;0;0;0;0;0;0;0;0;0;1;0;11
01.12.1989;22849,01;51378,00;34645,89;10309;105;45;38738,65;29;12;0;0;0;0;0;0;0;0;0;0;0;1;12
01.01.1990;12325,80;18103,06;11528,22;8081;66;35;22723,68;22;1;1;0;0;0;0;0;0;0;0;0;0;0;13
01.02.1990;8273,58;20979,50;12884,84;8378;59;20;24912,46;28;2;0;1;0;0;0;0;0;0;0;0;0;0;14
01.03.1990;10061,19;34503,12;14748,19;8586;60;25;29917,50;28;3;0;0;1;0;0;0;0;0;0;0;0;0;15
01.04.1990;11497,76;26783,96;9595,20;8438;82;35;20911,52;22;4;0;0;0;1;0;0;0;0;0;0;0;0;16
01.05.1990;10363,16;31790,15;15926,02;8589;91;28;26902,89;24;5;0;0;0;0;1;0;0;0;0;0;0;0;17
01.06.1990;10194,68;32432,74;11383,03;8565;80;25;26079,17;25;6;0;0;0;0;0;1;0;0;0;0;0;0;18
01.07.1990;8401,24;37180,05;16052,95;8526;64;24;35957,27;28;7;0;0;0;0;0;0;1;0;0;0;0;0;19
01.08.1990;13642,89;29658,85;14803,38;8978;74;32;25415,96;19;8;0;0;0;0;0;0;0;1;0;0;0;0;20
01.09.1990;12772,63;33238,46;14125,40;8761;87;28;26777,60;18;9;0;0;0;0;0;0;0;0;1;0;0;0;21
01.10.1990;14539,47;35679,33;15385,17;8512;105;33;30745,64;20;10;0;0;0;0;0;0;0;0;0;1;0;0;22
01.11.1990;14927,35;37238,87;20424,64;8697;88;34;25929,75;26;11;0;0;0;0;0;0;0;0;0;0;1;0;23
01.12.1990;19170,12;46766,94;27035,25;11120;87;29;25721,56;30;12;0;0;0;0;0;0;0;0;0;0;0;1;24
01.01.1991;11771,40;21752,78;12735,82;9115;65;30;26496,36;27;1;1;0;0;0;0;0;0;0;0;0;0;0;25
01.02.1991;10278,09;20789,67;11535,17;8216;70;26;24515,26;27;2;0;1;0;0;0;0;0;0;0;0;0;0;26
01.03.1991;11857,59;37427,02;12908,51;9358;72;28;28598,31;31;3;0;0;1;0;0;0;0;0;0;0;0;0;27
01.04.1991;9516,91;37578,38;12236,03;8835;78;21;28643,72;33;4;0;0;0;1;0;0;0;0;0;0;0;0;28
01.05.1991;10074,24;34424,09;19524,75;8565;91;24;34392,47;23;5;0;0;0;0;1;0;0;0;0;0;0;0;29
01.06.1991;19504,50;47208,79;21888,88;9589;78;24;27145,35;28;6;0;0;0;0;0;1;0;0;0;0;0;0;30
01.07.1991;12519,27;34389,18;14527,26;9109;58;33;29144,26;24;7;0;0;0;0;0;0;1;0;0;0;0;0;31
01.08.1991;8567,18;34637,01;14252,13;8613;92;23;29190,44;28;8;0;0;0;0;0;0;0;1;0;0;0;0;32
01.09.1991;9671,22;35092,11;13179,92;9679;90;22;25201,85;24;9;0;0;0;0;0;0;0;0;1;0;0;0;33
01.10.1991;11556,62;34735,17;15685,61;9152;91;24;27234,64;22;10;0;0;0;0;0;0;0;0;0;1;0;0;34
01.11.1991;15507,65;33201,77;22397,62;9132;82;32;28184,79;18;11;0;0;0;0;0;0;0;0;0;0;1;0;35
01.12.1991;25896,35;51760,84;34065,23;11574;82;40;33831,45;32;12;0;0;0;0;0;0;0;0;0;0;0;1;36
01.01.1992;11218,73;20078,40;9688,41;9383;86;32;22732,91;27;1;1;0;0;0;0;0;0;0;0;0;0;0;37
01.02.1992;17277,72;34596,86;25361,35;9003;54;27;33446,10;26;2;0;1;0;0;0;0;0;0;0;0;0;0;38
