date	RubEuro
01.07.2016	71,2926
02.07.2016	71,0519
05.07.2016	70,8553
06.07.2016	71,6327
07.07.2016	71,5135
08.07.2016	70,9482
09.07.2016	71,1684
12.07.2016	70,8152
13.07.2016	70,9833
14.07.2016	70,5577
15.07.2016	70,5644
16.07.2016	70,3395
19.07.2016	69,7741
20.07.2016	69,6974
21.07.2016	69,6967
22.07.2016	70,3022
23.07.2016	71,2513
26.07.2016	71,209
27.07.2016	72,3478
28.07.2016	72,515
29.07.2016	73,4047
30.07.2016	74,3799
02.08.2016	73,6523
03.08.2016	74,9007
04.08.2016	74,7978
05.08.2016	73,9232
06.08.2016	73,0303
09.08.2016	72,1476
10.08.2016	71,7556
11.08.2016	72,2349
12.08.2016	72,4644
13.08.2016	71,7158
16.08.2016	71,7263
17.08.2016	71,9645
18.08.2016	72,0832
19.08.2016	71,9371
20.08.2016	72,4558
23.08.2016	72,4457
24.08.2016	73,4733
25.08.2016	73,2074
26.08.2016	73,2135
27.08.2016	73,0892
30.08.2016	72,7996
31.08.2016	72,5013
01.09.2016	72,6859
02.09.2016	72,6828
03.09.2016	73,7199
06.09.2016	72,3742
07.09.2016	72,3639
08.09.2016	72,4022
09.09.2016	72,0464
10.09.2016	72,3359
13.09.2016	73,1986
14.09.2016	72,7559
15.09.2016	72,946
16.09.2016	73,2126
17.09.2016	73,0208
20.09.2016	72,4477
21.09.2016	72,5279
22.09.2016	71,8404
23.09.2016	71,6728
24.09.2016	71,5854
27.09.2016	72,0604
28.09.2016	71,6409
29.09.2016	71,5738
30.09.2016	70,8823
01.10.2016	70,9338
04.10.2016	70,2411
05.10.2016	69,7556
06.10.2016	70,0782
07.10.2016	69,8518
08.10.2016	69,2312
11.10.2016	69,7253
12.10.2016	69,1231
13.10.2016	69,1173
14.10.2016	69,7255
15.10.2016	69,3746
18.10.2016	69,3587
19.10.2016	69,2608
20.10.2016	68,7674
21.10.2016	68,4741
22.10.2016	68,0267
25.10.2016	67,7302
26.10.2016	67,4958
27.10.2016	67,9253
28.10.2016	68,7576
29.10.2016	68,6783
01.11.2016	69,2863
