Дата;Товар;Группа;Выручка;Количество
05.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;112716,72;838
05.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;49705,45;394
12.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;117459,77;936
12.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;12416,92;106
19.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;4080;32
19.07.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;1107,97;15
19.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;27338,1;230
26.07.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;11388,82;87
26.07.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3120,39;26
02.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;10186,45;80
09.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;3404,63;27
09.08.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;6332,55;50
09.08.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;20678,8;180
16.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;1502,84;12
16.08.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;126,65;1
16.08.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3957,55;32
23.08.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;13266,23;106
23.08.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;1519,8;12
23.08.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3832,64;32
06.09.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;6385,2;48
06.09.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;16844,45;133
06.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;3862,49;32
13.09.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;19763,51;162
13.09.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;886,5;7
13.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;46378,73;394
20.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;11982,26;101
27.09.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;133944,86;1085
27.09.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;9858,65;78
27.09.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;15757,24;135
27.09.2004;Ламинат ELESGO Imperial 7х185х1184 клен зеленый, кв.м;Напольные покрытия;1123,2;3
27.09.2004;Ламинат NATURTEX 8.2х195х1215 5180 Вишня, шт;Напольные покрытия;1684,8;4
04.10.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 1 кг, шт;Грунтовка;4791,02;37
04.10.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;51366,33;459
04.10.2004;Ламинат NATURTEX 8.2х195х1215 5180 Вишня, шт;Напольные покрытия;567,12;2
11.10.2004;Грунтовка алкидная ГФ-021 ТЕКС Универсал красно-коричневая, 2.5 кг, шт;Грунтовка;67536,18;705
11.10.2004;Грунтовка вд ОПТИМИСТ глубокого проникновения, зеленая этикетка,  50 л, шт;Грунтовка;2026,35;16
11.10.2004;Грунтовка вд ОПТИМИСТ для нар/ внутр. работ, желтая этикетка,  50 л, шт;Грунтовка;21334,07;193
11.10.2004;Ламинат ELESGO Imperial 7х185х1184 дуб кантри, кв.м;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  2820 Дуб классик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  6335 Орех, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  6927 Вишня темная, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Ламинат NEW WAY 8.3х197х1218  7128 Тик, 8шт/1.92кв.м./уп, шт;Напольные покрытия;240;1
11.10.2004;Линолеум IVC Avanti Tango 983 3м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Avanti Tango 996 3м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Avanti Tango 996, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Avanti Tango 997, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Dynamite Bamboo 035 3м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Bamboo 035 4м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Cannes 035 2.5м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Cannes 035 3м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Dynamite Cannes 048 2.5м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC San-Francisco 527 4м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC San-Francisco 535 3м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC San-Francisco 545 3м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC San-Francisco 577 4м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Victory Apollo 17 3 м, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Victory Apollo 17 4 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Victory Apollo 27 3 м, кв.м;Напольные покрытия;415,2;1
11.10.2004;Линолеум IVC Victory Apollo 45 3 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Victory Apollo 45 4 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Victory Apollo 91 3 м, кв.м;Напольные покрытия;292,8;1
11.10.2004;Линолеум IVC Viktory Apollo 77 4м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC Wonderwood Boston 841 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Champagne 45 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 47 3 м, кв.м;Напольные покрытия;240;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 47 4 м, кв.м;Напольные покрытия;364,8;1
11.10.2004;Линолеум IVC Wonderwood Jakarta 843 3 м, кв.м;Напольные покрытия;240;1
